transaction_id,customer_id,store_id,transaction_date,total_amount,customer_phone
T000099,C00222,S02459,22-02-2024 20:13,1834.34,8270748161
T000100,C02923,S00275,24-01-2024 19:13,693.56,6770723756
T000101,C02672,S04006,22-11-2025 06:44,1574.44,1781865999
T000102,C04036,S04024,10-10-2024 07:06,1192.73,1029387953
T000103,C04101,S01503,10-03-2024 04:54,173.36,1830686420
T000104,C02437,S02182,22-12-2024 04:19,1285.43,259189670
T000105,C02678,S01157,05-11-2024 09:46,1452.35,4380459671
T000106,C00203,S02737,16-07-2025 17:28,576.86,8954532238
T000107,C01738,S04741,10-05-2025 03:07,474.32,202793408
T000108,C04872,S00762,10-05-2025 19:53,1232.64,9596802672
T000109,C01988,S01257,21-01-2025 08:29,1160.34,5170299937
T000110,C01773,S04699,08-12-2023 21:16,818.54,1753635612
T000111,C04298,S04140,21-02-2024 17:20,926.92,7389332884
T000112,C02639,S02904,03-08-2024 04:18,1991.25,4731365627
T000113,C03271,S00548,13-02-2024 02:12,740.53,6061663315
T000114,C03859,S00013,04-06-2025 16:27,513.7,5902606532
T000115,C02000,S01496,10-01-2025 04:14,333.33,5937672702
T000116,C02878,S00066,24-05-2024 11:33,871.85,9716408702
T000117,C00787,S04662,12-03-2025 09:55,237.54,2979774752
T000118,C01538,S03013,10-09-2025 20:48,818.7,1534203340
T000119,C00860,S03156,04-11-2024 19:55,1757.03,5781646192
T000120,C04019,S03456,22-07-2024 04:02,1771.89,6825766208
T000121,C00689,S01359,16-11-2024 08:45,72.7,4506536222
T000122,C02849,S00378,26-09-2024 12:53,741.45,5617228431
T000123,C00777,S02667,14-04-2025 15:32,1115.8,2285045147
T000124,C03155,S01397,19-05-2025 17:38,296.9,5847802868
T000125,C03602,S03198,17-01-2024 17:53,1832.81,7804971659
T000126,C04980,S04247,26-08-2025 10:12,1058.62,4925811686
T000127,C04296,S02525,17-01-2024 01:31,1008.2,6392002024
T000128,C03114,S00237,16-06-2025 20:31,1882.19,6379104460
T000129,C01708,S01024,09-12-2024 20:22,967.49,1664501004
T000130,C04600,S04306,07-09-2025 07:55,1261.86,3296675614
T000131,C03023,S04285,04-11-2024 20:49,1698.27,9297546832
T000132,C00692,S02495,30-04-2025 22:59,180.84,4522730696
T000133,C01652,S01536,28-08-2025 18:13,1907.82,3349311516
T000134,C02931,S03615,13-03-2025 17:00,441.95,4281328875
T000135,C01732,S03860,30-04-2025 09:40,146.6,4381317649
T000136,C04403,S03784,14-09-2025 03:09,990.51,8787694556
T000137,C01586,S02520,17-07-2025 04:56,773.31,2126318911
T000138,C02964,S02017,21-01-2025 03:26,1277.29,6415079720
T000139,C01959,S01708,07-12-2024 22:42,957.29,3901838426
T000140,C02068,S00448,24-08-2025 20:12,512.3,4192260000
T000141,C03949,S03791,17-02-2024 16:46,1472.03,5715788224
T000142,C01376,S04283,25-05-2024 12:40,741.42,3811238103
T000143,C01351,S04789,29-08-2025 17:15,134.83,273838890
T000144,C04065,S00459,05-07-2025 22:00,1674.02,4449686525
T000145,C03273,S04996,17-04-2025 09:29,183.29,7341489449
T000146,C03787,S00907,29-05-2024 17:29,1990.25,5634711952
T000147,C02266,S00443,05-12-2024 09:43,1725.06,6397133271
T000148,C04320,S04768,30-03-2024 21:36,1150.92,3805132476
T000149,C02450,S02347,12-05-2024 16:41,1086.3,4746732294
T000150,C03715,S01719,11-08-2024 07:03,938.26,3153191662
T000151,C02501,S02170,08-08-2024 04:24,1751.21,1099097107
T000152,C02294,S04499,04-05-2024 02:43,1971.34,8459489576
T000153,C03014,S03761,24-04-2024 14:18,601.9,30688969
T000154,C04481,S01027,13-06-2025 11:40,1902.31,4303756152
T000155,C03530,S00633,04-07-2024 05:42,1248.4,7601679180
T000156,C03915,S04381,02-08-2025 06:46,902.18,5317561120
T000157,C03844,S04440,03-07-2024 08:20,109.74,1242460102
T000158,C01713,S00989,25-09-2025 23:45,426.26,3851338401
T000159,C00578,S00062,16-12-2024 14:22,919.91,5657425342
T000160,C03055,S01686,22-05-2024 04:17,800.17,7987176017
T000161,C02750,S02082,15-08-2025 17:53,755.04,7997052928
T000162,C03155,S02887,21-06-2025 04:12,411.53,227031119
T000163,C04520,S02201,20-03-2024 12:31,930.16,1360480481
T000164,C03011,S04756,21-12-2023 00:34,1552.57,9241151111
T000165,C02852,S00912,02-01-2024 18:11,1604.21,8614402440
T000166,C04884,S03337,27-03-2025 18:17,1993.46,974262940
T000167,C04839,S01343,01-08-2025 18:12,1643.32,7959033073
T000168,C04531,S04687,30-07-2025 13:10,493.73,4902435150
T000169,C03192,S00365,02-09-2024 03:11,1022.35,6536864161
T000170,C00700,S04773,23-05-2024 21:50,1371.29,8259760650
T000171,C01094,S04472,19-12-2023 06:40,1309.53,5315470887
T000172,C01810,S03174,20-01-2025 00:13,1485.52,2998958006
T000173,C02620,S00228,13-10-2024 12:31,84.72,6647590472
T000174,C01719,S04683,07-10-2025 23:39,1137.96,5622656017
T000175,C04346,S00083,04-01-2024 16:50,674.84,5823130971
T000176,C01596,S02285,11-08-2024 15:57,1256.05,694376843
T000177,C04830,S00491,13-04-2024 22:29,1740.09,6239567199
T000178,C00458,S00602,16-07-2024 11:16,1628.83,4064539694
T000179,C03049,S04025,03-02-2025 11:41,62.18,322094962
T000180,C02832,S01975,21-06-2025 06:02,394.39,4592226431
T000181,C00935,S00100,06-12-2024 17:33,846.72,5313928548
T000182,C02753,S01107,19-05-2025 18:41,823.41,1259863783
T000183,C02969,S04048,24-08-2025 06:18,1527.68,3211482587
T000184,C01040,S03338,21-04-2024 06:54,416.61,9582097202
T000185,C03788,S01179,21-06-2025 09:23,1699.83,6818210515
T000186,C00229,S04560,22-02-2024 00:13,1184.9,3231861767
T000187,C01649,S01952,03-11-2024 16:58,453.05,9363570007
T000188,C01287,S02703,05-10-2024 08:16,105.25,753866754
T000189,C03419,S03997,09-06-2024 04:09,896.22,1047795816
T000190,C01485,S04591,17-07-2024 12:05,300.9,1833796040
T000191,C03081,S00990,14-05-2025 09:29,530.29,9422052652
T000192,C04890,S01871,30-08-2025 02:24,1245.29,7638915063
T000193,C04343,S00158,16-12-2023 23:44,112.57,5698310424
T000194,C01866,S03556,18-06-2025 15:33,1182.74,8741630001
T000195,C02748,S02624,15-01-2024 21:00,693.92,8760825117
T000196,C00437,S02323,28-02-2025 10:50,1301.23,1829358999
T000197,C03574,S04148,10-03-2024 08:11,809.32,2921015190
T000198,C01175,S02245,07-01-2025 21:23,1464.76,6654783513
T000199,C01767,S03514,01-01-2025 21:42,1511.89,6889434240
T000200,C01944,S00356,05-08-2025 07:37,1940.75,4985810013
T000201,C03757,S01216,14-07-2024 09:45,1947.45,8402855329
T000202,C04576,S00391,21-12-2024 21:49,528.76,4847521197
T000203,C03530,S01349,22-01-2024 13:01,347.32,2118731628
T000204,C01241,S01586,29-10-2024 23:44,403.24,168715169
T000205,C00711,S03617,01-11-2025 14:11,1508.48,3826637103
T000206,C02275,S01960,12-09-2024 23:21,1036.14,2866986900
T000207,C01817,S03247,12-11-2025 05:21,573.86,4948748727
T000208,C02111,S03183,13-09-2024 05:43,837.44,8959985252
T000209,C00131,S01015,15-12-2024 20:10,470.46,4079853938
T000210,C02762,S00439,31-10-2024 13:21,1755.37,1745622855
T000211,C02896,S00284,08-10-2025 04:58,1521.6,2921693642
T000212,C00810,S01957,31-01-2025 03:33,1494.89,1889563645
T000213,C00258,S01630,04-10-2024 18:31,548.15,9657534958
T000214,C04028,S03252,01-05-2025 19:22,1299.5,3821546810
T000215,C02885,S00761,13-06-2024 07:47,883.52,8803312170
T000216,C02875,S01031,27-03-2024 22:15,605.33,6856852624
T000217,C03872,S00883,19-10-2025 13:42,1141.4,2606036824
T000218,C01807,S00594,09-02-2024 02:14,471.63,1529096545
T000219,C04796,S00547,23-12-2023 13:39,643.45,8467709399
T000220,C04945,S04726,28-03-2025 15:14,1440.93,3582551577
T000221,C02939,S01801,03-04-2024 18:45,1892.35,7200994576
T000222,C02703,S00549,14-11-2024 12:17,407.77,9074504396
T000223,C01349,S03578,23-12-2023 16:14,426.26,5870047968
T000224,C02139,S04158,17-01-2025 00:23,1203.03,6690611196
T000225,C01590,S01172,11-05-2025 22:51,832.2,3567103336
T000226,C02153,S03692,10-06-2024 21:54,809.17,9645863587
T000227,C04248,S04302,13-11-2024 22:49,1730.01,8129437011
T000228,C01956,S00519,21-01-2025 19:22,881.14,1255195717
T000229,C00777,S00100,19-08-2025 00:49,295.33,5482649799
T000230,C03135,S04452,20-05-2025 19:03,611.38,8256613848
T000231,C03929,S01022,17-08-2025 01:24,165.02,3641945715
T000232,C02046,S00715,19-02-2025 23:44,707.78,454075344
T000233,C02241,S02031,19-06-2024 18:04,1931.59,8875008119
T000234,C03793,S01301,12-10-2024 02:51,1235.2,3670691346
T000235,C01304,S04558,22-01-2025 08:23,1177.46,3858499426
T000236,C02329,S03569,04-10-2024 02:16,155.89,7525057753
T000237,C02109,S01549,26-06-2024 12:09,1325.87,3840363723
T000238,C02878,S02689,14-05-2024 17:21,1260.52,9251090572
T000239,C02969,S01118,25-03-2024 21:33,1587.43,2601512628
T000240,C01552,S01388,18-04-2025 00:52,664.8,630594090
T000241,C03538,S03943,28-06-2025 16:33,845.22,9627336621
T000242,C04679,S04174,08-02-2024 08:53,95.28,8571027817
T000243,C04495,S03551,30-08-2024 14:30,1608.2,8631687226
T000244,C03587,S04438,24-04-2025 15:37,615,1888262088
T000245,C03845,S00628,26-01-2024 15:57,118.29,9538377458
T000246,C00054,S00269,19-12-2023 20:20,1909.84,1351076761
T000247,C04839,S04613,15-05-2025 08:56,812.91,2388111944
T000248,C02180,S02598,17-09-2024 15:21,632.55,4164354730
T000249,C00743,S02289,09-07-2025 07:40,1771.85,1172223961
T000250,C03256,S01921,03-08-2025 03:02,1971.97,702984406
T000251,C01461,S01188,17-01-2024 04:27,1840.68,4608942435
T000252,C02730,S03100,08-08-2024 21:56,1393.15,9125725639
T000253,C04805,S02245,13-02-2025 05:48,1416.25,9886428115
T000254,C00124,S00775,02-09-2024 17:17,421.56,5651789977
T000255,C03972,S01959,29-01-2024 06:46,83.53,2621001575
T000256,C00675,S02389,22-03-2025 15:17,108.08,5737340161
T000257,C03867,S03506,04-04-2025 22:02,1258.79,5723140256
T000258,C01509,S01296,09-04-2024 17:23,708.25,5501470113
T000259,C01665,S00307,25-01-2024 18:36,778.24,1537099954
T000260,C04544,S02347,18-08-2024 04:16,1688.78,4389811794
T000261,C03006,S04548,02-09-2024 17:55,54.11,2781704833
T000262,C04702,S04880,27-06-2024 09:03,1996.99,1960240829
T000263,C04734,S02137,19-05-2025 18:33,1576.2,3217787088
T000264,C01257,S00710,16-11-2025 08:07,550.56,5853331415
T000265,C03640,S03546,08-09-2025 05:46,1548.48,5097104367
T000266,C04890,S01774,05-05-2025 08:46,553.96,5100500334
T000267,C02001,S01935,30-08-2024 21:22,1917.2,5977113459
T000268,C04233,S00074,03-07-2024 21:27,951.55,4317815714
T000269,C01780,S03122,27-10-2024 14:08,631.64,867663106
T000270,C02700,S04211,03-06-2025 05:41,1218.95,8259445690
T000271,C01441,S04831,07-04-2024 01:55,1581.26,9645695641
T000272,C02585,S02661,02-10-2025 07:56,1981.39,5842208321
T000273,C02829,S00171,07-09-2025 13:00,1025.46,6366212616
T000274,C00021,S03477,06-11-2025 07:31,196.39,5910032090
T000275,C03904,S01044,02-03-2024 06:49,788.21,1031890131
T000276,C04697,S00486,23-10-2025 01:09,562.03,5298391776
T000277,C00018,S01677,19-02-2024 17:01,714.17,8965235944
T000278,C04953,S03307,26-07-2024 15:16,733.77,2948622578
T000279,C04392,S02019,13-09-2024 00:27,754.97,4686615180
T000280,C00981,S02041,26-08-2025 13:06,1109.62,3177925597
T000281,C00137,S01515,29-09-2024 23:52,671.8,6186948481
T000282,C04503,S02365,21-12-2023 06:53,653.39,223229429
T000283,C01182,S01993,03-06-2024 17:44,809.27,875963076
T000284,C02978,S02761,11-10-2025 00:46,1976.04,5194401063
T000285,C04263,S04192,25-11-2024 13:29,1246.73,5833363653
T000286,C03227,S01000,27-08-2025 17:45,475.9,2720651006
T000287,C02708,S03439,21-09-2025 13:57,1359.32,1185673753
T000288,C04604,S04555,09-04-2024 18:53,345.55,3172860048
T000289,C04043,S00830,14-04-2024 15:44,1375.44,7965724588
T000290,C04980,S03224,15-05-2025 06:35,1693.19,278034741
T000291,C01462,S04167,01-07-2025 16:59,1656.93,8738690928
T000292,C00805,S01535,15-02-2025 08:39,1154.25,5805502789
T000293,C02512,S00627,15-01-2025 02:39,1796.02,9025794136
T000294,C01831,S04558,04-03-2024 11:48,1751.91,8007642995
T000295,C02591,S02767,21-09-2025 08:15,615.05,7772021436
T000296,C03741,S04228,09-01-2025 12:49,302.15,2388350347
T000297,C04587,S00995,02-10-2024 14:46,1724.3,4524136230
T000298,C03295,S01079,25-06-2025 01:55,1257.81,3815392076
T000299,C00462,S03512,08-05-2024 08:56,1932.02,864133931
T000300,C02460,S03142,31-12-2023 16:00,1972.45,7520004333
T000301,C03142,S03925,26-10-2025 13:29,587.77,8591764564
T000302,C02635,S00553,20-12-2024 16:04,965.29,1315793548
T000303,C03701,S04629,20-10-2024 19:24,1058.5,5190472754
T000304,C03665,S02161,02-04-2024 11:24,783.98,9894879509
T000305,C02937,S02026,22-08-2025 06:38,926.91,307769382
T000306,C03974,S00061,18-10-2025 01:38,545.97,4960196212
T000307,C01369,S03437,22-11-2024 09:10,1100.57,2688918509
T000308,C02117,S04433,17-05-2025 05:33,1483.01,6859056102
T000309,C04417,S02269,30-10-2024 15:53,541.71,374035039
T000310,C03199,S03256,13-03-2024 09:57,1380.2,9230533337
T000311,C01134,S03055,01-12-2024 01:45,630.49,4902452383
T000312,C00024,S01056,21-05-2024 23:40,1170.88,7033893324
T000313,C04589,S03306,12-08-2024 17:52,1120.56,8790581420
T000314,C02924,S04913,15-09-2025 07:15,823.55,3157889380
T000315,C04094,S01003,17-02-2024 01:13,177.07,4440137679
T000316,C02869,S04192,12-10-2024 11:12,591.74,4159027163
T000317,C02354,S01121,02-04-2025 23:44,862.13,9854722705
T000318,C01161,S00678,30-04-2024 09:06,1814.48,2992243725
T000319,C03616,S04036,14-12-2023 22:12,999.82,4852354863
T000320,C02321,S00442,10-11-2025 01:57,311.3,8302512818
T000321,C03352,S01679,23-08-2025 03:32,351.37,8435169931
T000322,C02903,S01480,08-09-2024 02:35,1574.66,5168130094
T000323,C02699,S00294,13-12-2023 19:22,140.65,9882215419
T000324,C02602,S01441,18-02-2025 18:17,1663.05,6495708983
T000325,C02077,S01501,12-12-2023 20:06,772.34,3099251877
T000326,C00777,S04019,25-12-2023 20:47,968.74,4916755336
T000327,C02457,S03102,30-06-2025 21:56,600.53,368415139
T000328,C01091,S00257,19-07-2024 02:59,1188.92,5925083404
T000329,C02914,S00456,27-02-2024 13:56,556.46,6829132903
T000330,C02630,S03029,26-01-2025 16:02,1959.4,3739912445
T000331,C03487,S02874,14-01-2024 18:08,1994.85,4787650498
T000332,C04948,S00856,19-08-2024 15:31,444.57,7327279500
T000333,C04533,S03441,17-03-2025 09:45,1257,5196464400
T000334,C01118,S03980,11-08-2024 23:39,881.21,4534967270
T000335,C04383,S02449,04-07-2025 08:40,1218.56,9407335158
T000336,C03091,S02955,10-07-2025 00:13,310.14,680131727
T000337,C00676,S01633,13-03-2024 00:38,1434.95,1701489104
T000338,C04003,S01121,10-02-2025 20:15,1933.55,7965366093
T000339,C03157,S04733,09-02-2024 21:58,1263.88,786857801
T000340,C01057,S03267,06-04-2025 11:09,1879.97,4951634379
T000341,C02478,S00085,06-05-2025 20:19,258.61,9569186255
T000342,C04794,S03150,18-01-2025 07:16,1198.98,3874739135
T000343,C02291,S02932,11-02-2024 22:20,1746.14,8166637667
T000344,C02692,S01903,13-10-2024 20:10,283.76,8522839527
T000345,C01113,S02672,05-06-2024 19:07,639.06,508507091
T000346,C01364,S02634,30-07-2024 09:37,1034.04,6541541838
T000347,C02662,S00375,17-08-2024 04:01,1460.1,823411820
T000348,C04265,S01587,02-02-2024 18:31,1326.25,2123027633
T000349,C02987,S02874,11-02-2024 13:07,342.18,9820900839
T000350,C01222,S03849,24-11-2024 17:35,887.35,7632245984
T000351,C00627,S00247,26-02-2024 21:48,199.29,7265186691
T000352,C01650,S03708,27-07-2024 15:03,1664.79,7519831765
T000353,C01749,S03360,05-08-2024 21:32,1725.08,2758376978
T000354,C01849,S00530,30-05-2024 09:12,1831.6,9926920227
T000355,C02304,S02429,09-12-2024 06:16,1853.32,8244858280
T000356,C04094,S01175,07-03-2025 07:24,1301.07,5284387144
T000357,C03897,S02661,12-08-2025 13:43,888.65,397256679
T000358,C01042,S00088,29-05-2024 23:48,64.45,7119934021
T000359,C01750,S03189,19-07-2025 05:53,676.08,7270114106
T000360,C01220,S03061,13-06-2024 23:30,633.32,1338662100
T000361,C03926,S04617,01-08-2024 10:04,1765.69,2540153653
T000362,C04321,S03975,14-05-2025 10:27,1025.83,1477449140
T000363,C01528,S02456,17-01-2024 21:49,209.84,3660224278
T000364,C00013,S04500,25-04-2024 07:59,1920.82,1400346590
T000365,C01672,S03123,06-12-2024 02:35,1911.3,2379334167
T000366,C03564,S02371,29-10-2024 21:19,1293.35,3912428400
T000367,C02973,S01371,30-07-2024 09:39,1102.69,5630838112
T000368,C03284,S02748,16-12-2023 08:25,617.47,5901859479
T000369,C00902,S02356,15-11-2024 16:00,806.72,5706348060
T000370,C00325,S00089,14-05-2024 23:09,1192.91,8367393066
T000371,C01480,S03917,18-12-2023 14:52,732.96,873511442
T000372,C03399,S01441,23-12-2023 10:25,874.52,4177805255
T000373,C03917,S03487,28-11-2023 14:39,1618.9,1036255759
T000374,C02793,S02217,12-02-2025 16:40,869.55,1720336100
T000375,C00880,S00181,12-04-2024 03:09,725.43,811406212
T000376,C03601,S03763,08-03-2025 05:31,306.38,8403957136
T000377,C01734,S04306,04-08-2025 01:28,1637.34,3305418415
T000378,C00123,S02992,30-10-2025 19:18,595.59,4961185821
T000379,C02535,S04119,04-01-2025 01:09,804.15,7763431031
T000380,C00038,S04531,15-10-2024 14:04,1971.44,1775115212
T000381,C01884,S01736,02-03-2025 02:24,556.3,1188393951
T000382,C04547,S02914,29-07-2025 20:04,1072.14,3742187770
T000383,C01982,S01704,28-04-2024 14:24,1730.83,3079735643
T000384,C04488,S00210,06-07-2024 13:19,610.55,7088331827
T000385,C04499,S00059,16-06-2024 09:02,767.91,2307923513
T000386,C00283,S04509,27-02-2025 03:03,1349.19,917390535
T000387,C01093,S01671,06-06-2024 21:52,1711.58,5425766647
T000388,C01579,S01406,31-07-2024 13:41,1951.94,7276598842
T000389,C04203,S04038,06-10-2025 22:52,1093.38,2729616477
T000390,C04327,S00340,29-10-2025 01:35,1569.05,7317394550
T000391,C04569,S04102,27-10-2025 03:47,1942.75,681587260
T000392,C02165,S04983,09-08-2024 00:42,1854.9,4394971485
T000393,C00838,S00114,16-12-2023 15:56,1503.52,5790434393
T000394,C01107,S03264,13-04-2024 00:27,1311.94,8956599860
T000395,C01587,S03157,17-11-2024 21:50,1706.58,8052195987
T000396,C02494,S02826,27-12-2024 19:50,455.43,4023267991
T000397,C04513,S04024,08-06-2024 16:12,318.12,383358149
T000398,C04160,S02762,01-01-2025 09:26,938.93,5092416710
T000399,C02215,S04056,10-03-2025 00:49,1708.29,825399313
T000400,C04898,S02751,05-07-2025 23:28,430.71,458483135
T000401,C04777,S01990,24-10-2025 21:10,488.32,3019187720
T000402,C01924,S04522,19-11-2024 10:01,745.37,5262132395
T000403,C00628,S02647,18-05-2025 22:24,277.17,8888846218
T000404,C03736,S01340,16-11-2024 02:02,1836.87,3419153556
T000405,C03167,S02904,03-07-2024 05:18,935.51,8957844181
T000406,C02987,S02228,07-11-2024 10:09,1729.04,6890718194
T000407,C04978,S01159,30-04-2024 02:24,894.48,6481860637
T000408,C03276,S04888,11-11-2024 05:24,958.21,8836799587
T000409,C00559,S02956,29-01-2024 00:59,1714.36,3941634104
T000410,C04337,S02923,10-01-2024 11:42,1041.51,4592809515
T000411,C00175,S01362,16-12-2023 03:31,967.79,2829335021
T000412,C03352,S01197,17-12-2024 19:08,313.41,7483819945
T000413,C04976,S01525,24-07-2025 19:07,951.29,9028586691
T000414,C00355,S04084,27-05-2025 17:47,705.19,9651047417
T000415,C01735,S01990,22-04-2024 10:36,1378.52,9985043278
T000416,C01566,S04957,19-12-2024 19:13,997.61,8033135033
T000417,C04946,S04122,19-07-2024 00:49,1536.75,3204783871
T000418,C03738,S03181,24-04-2024 17:07,284.85,2736519566
T000419,C02127,S00883,17-06-2025 11:01,899.96,2666405040
T000420,C03918,S04732,11-06-2025 00:54,1050.64,2989533645
T000421,C00465,S04318,10-08-2024 11:58,1473.95,9068980791
T000422,C01610,S04443,16-10-2024 21:49,902.95,345877998
T000423,C04723,S02501,03-07-2025 03:42,338.76,420559342
T000424,C00707,S00821,27-07-2024 08:08,1622.57,8283902202
T000425,C04605,S01549,12-05-2025 19:58,1585.13,2118378605
T000426,C00218,S04175,17-12-2023 19:46,727.72,5235471284
T000427,C00449,S04713,14-08-2025 11:00,1671.99,6393508709
T000428,C02131,S02852,02-01-2025 16:06,416.38,8801771569
T000429,C00059,S00128,15-06-2025 02:49,1072.38,3440701596
T000430,C02688,S02071,22-08-2024 00:22,1188.36,7702782760
